# E(eV),Radius(Rp),Tau
1.992287787500658624e+03,2.573374381416798019e+10,7.682200296350626665e-07
1.992287787500658624e+03,2.616133032527513123e+10,7.144465111964046443e-07
1.992287787500658624e+03,2.658891683638228226e+10,6.667027318419142888e-07
1.992287787500658624e+03,2.701650334748943329e+10,6.193468889800311865e-07
1.992287787500658624e+03,2.744408985859658432e+10,5.798171580488042655e-07
1.992287787500658624e+03,2.787167636970373917e+10,5.398285239131862464e-07
1.992287787500658624e+03,2.829926288081089020e+10,5.052063906946133285e-07
1.992287787500658624e+03,2.872684939191804123e+10,4.729677351053096164e-07
1.992287787500658624e+03,2.915443590302519226e+10,4.415927128297504740e-07
1.992287787500658624e+03,2.958202241413234711e+10,4.121807603341671301e-07
1.992287787500658624e+03,3.000960892523949814e+10,3.870057355392176897e-07
1.992287787500658624e+03,3.043719543634664536e+10,3.635923978377073809e-07
1.992287787500658624e+03,3.086478194745380020e+10,3.399674686244537783e-07
1.992287787500658624e+03,3.129236845856095505e+10,3.180450721691861854e-07
1.992287787500658624e+03,3.171995496966810226e+10,2.993716260885972992e-07
1.992287787500658624e+03,3.214754148077525330e+10,2.793656074769839912e-07
1.992287787500658624e+03,3.257512799188240814e+10,2.626345370050378974e-07
1.992287787500658624e+03,3.300271450298955917e+10,2.467159382454122956e-07
1.992287787500658624e+03,3.343030101409671402e+10,2.303114080085102735e-07
1.992287787500658624e+03,3.385788752520386124e+10,2.175078237239081431e-07
1.992287787500658624e+03,3.428547403631101227e+10,2.034690974706652274e-07
1.992287787500658624e+03,3.471306054741816711e+10,1.908876923589056238e-07
1.992287787500658624e+03,3.514064705852531433e+10,1.771789226560029925e-07
1.992287787500658624e+03,3.556823356963246918e+10,1.674920959148938677e-07
1.992287787500658624e+03,3.599582008073962402e+10,1.551868403907182202e-07
1.992287787500658624e+03,3.642340659184677124e+10,1.457080526165405653e-07
1.992287787500658624e+03,3.685099310295392609e+10,1.357689371301500661e-07
1.992287787500658624e+03,3.727857961406107330e+10,1.254155460017275340e-07
1.992287787500658624e+03,3.770616612516822815e+10,1.185669947872498220e-07
1.992287787500658624e+03,3.813375263627538300e+10,1.091125616642601528e-07
1.992287787500658624e+03,3.856133914738253021e+10,1.001433582870367817e-07
1.992287787500658624e+03,3.898892565848967743e+10,9.163030499450586824e-08
1.992287787500658624e+03,3.941651216959683228e+10,8.354395855896125393e-08
1.992287787500658624e+03,3.984409868070398712e+10,7.586931592309778353e-08
1.992287787500658624e+03,4.027168519181114197e+10,6.860720545509324252e-08
1.992287787500658624e+03,4.069927170291828918e+10,6.168923944496918191e-08
1.992287787500658624e+03,4.112685821402544403e+10,5.199562965660239328e-08
1.992287787500658624e+03,4.155444472513259125e+10,4.443125187004705070e-08
1.992287787500658624e+03,4.198203123623973846e+10,3.485143904177016240e-08
1.992287787500658624e+03,4.240961774734689331e+10,2.266366041013369829e-08
1.988640706702940406e+03,0.000000000000000000e+00,2.633207343504139208e-01
1.988640706702940406e+03,4.275865111071519256e+08,2.633207343504139208e-01
1.988640706702940406e+03,8.551730222143038511e+08,2.633207343504139208e-01
1.988640706702940406e+03,1.282759533321455956e+09,2.633207343504139208e-01
1.988640706702940406e+03,1.710346044428607702e+09,2.633207343504139208e-01
1.988640706702940406e+03,2.137932555535759449e+09,2.633207343504139208e-01
1.988640706702940406e+03,2.565519066642911911e+09,2.633207343504139208e-01
1.988640706702940406e+03,2.993105577750063896e+09,2.633207343504139208e-01
1.988640706702940406e+03,3.420692088857215405e+09,2.633207343504139208e-01
1.988640706702940406e+03,3.848278599964367390e+09,2.633207343504139208e-01
1.988640706702940406e+03,4.275865111071518898e+09,2.633207343504139208e-01
1.988640706702940406e+03,4.703451622178671837e+09,2.633207343504139208e-01
1.988640706702940406e+03,5.131038133285823822e+09,2.633207343504139208e-01
1.988640706702940406e+03,5.558624644392974854e+09,2.633207343504139208e-01
1.988640706702940406e+03,5.986211155500127792e+09,2.633207343504139208e-01
1.988640706702940406e+03,6.413797666607279778e+09,2.633207343504139208e-01
1.988640706702940406e+03,6.841384177714430809e+09,2.633207343504139208e-01
1.988640706702940406e+03,7.268970688821582794e+09,2.633207343504139208e-01
1.988640706702940406e+03,7.696557199928734779e+09,2.633207343504139208e-01
1.988640706702940406e+03,8.124143711035886765e+09,2.633207343504139208e-01
1.988640706702940406e+03,8.551730222143037796e+09,2.633207343504139208e-01
1.988640706702940406e+03,8.630283369881910324e+09,2.633207343504139208e-01
1.988640706702940406e+03,9.057869880989061356e+09,4.113201596231958260e-03
1.988640706702940406e+03,9.485456392096214294e+09,1.018212778178765460e-03
1.988640706702940406e+03,9.913042903203365326e+09,3.049652929187883239e-04
1.988640706702940406e+03,1.034062941431051826e+10,1.454283571832768699e-04
1.988640706702940406e+03,1.076821592541766930e+10,8.752647294848368224e-05
1.988640706702940406e+03,1.119580243652482033e+10,5.706175251021091083e-05
1.988640706702940406e+03,1.162338894763197327e+10,3.963203568372078537e-05
1.988640706702940406e+03,1.205097545873912430e+10,2.904189518086765356e-05
1.988640706702940406e+03,1.247856196984627533e+10,2.223475270403516593e-05
1.988640706702940406e+03,1.290614848095342827e+10,1.759180387836951871e-05
1.988640706702940406e+03,1.333373499206057930e+10,1.430720004713539553e-05
1.988640706702940406e+03,1.376132150316773033e+10,1.190843830938555345e-05
1.988640706702940406e+03,1.418890801427488327e+10,1.009841600669573464e-05
1.988640706702940406e+03,1.461649452538203430e+10,8.683432194281192332e-06
1.988640706702940406e+03,1.504408103648918533e+10,7.552895353012366376e-06
1.988640706702940406e+03,1.547166754759633827e+10,6.628205767364910875e-06
1.988640706702940406e+03,1.589925405870348930e+10,5.864628896490555252e-06
1.988640706702940406e+03,1.632684056981064224e+10,5.221101424442236700e-06
1.988640706702940406e+03,1.675442708091779137e+10,4.672043612462472080e-06
1.988640706702940406e+03,1.718201359202494431e+10,4.199966427474698330e-06
1.988640706702940406e+03,1.760960010313209915e+10,3.786310340363679833e-06
1.988640706702940406e+03,1.803718661423925018e+10,3.427592241810677160e-06
1.988640706702940406e+03,1.846477312534639740e+10,3.111258685110256289e-06
1.988640706702940406e+03,1.889235963645355225e+10,2.832026249829826301e-06
1.988640706702940406e+03,1.931994614756070709e+10,2.579982024365954955e-06
1.988640706702940406e+03,1.974753265866785431e+10,2.358274360307670842e-06
1.988640706702940406e+03,2.017511916977500534e+10,2.159938032219853078e-06
1.988640706702940406e+03,2.060270568088216019e+10,1.978685877319241759e-06
1.988640706702940406e+03,2.103029219198931122e+10,1.817223020793064044e-06
1.988640706702940406e+03,2.145787870309646225e+10,1.672196605995703665e-06
